Case,Complaint URL,Agreement URL,Date
Microsoft,https://www.ftc.gov/sites/default/files/documents/cases/2002/08/microsoftcmp.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2002/08/microsoftagree.pdf,2002-12-24
Guess Inc.,https://www.ftc.gov/sites/default/files/documents/cases/2003/08/guesscomp.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2003/08/guessdo.pdf,2003-08-05
MTS inc et. Al (Tower Records) ,https://www.ftc.gov/sites/default/files/documents/cases/2004/06/040602comp0323209.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2004/06/040602do0323209.pdf,2004-06-02
Petco,https://www.ftc.gov/sites/default/files/documents/cases/2005/03/050308comp0323221.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2005/03/050308do0323221.pdf,2005-03-08
BJ's Wholsale Club,https://www.ftc.gov/sites/default/files/documents/cases/2005/09/092305comp0423160.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2005/09/092305do0423160.pdf,2005-09-23
DSW,https://www.ftc.gov/sites/default/files/documents/cases/2006/03/0523096c4157dswcomplaint.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2006/03/0523096c4157dswdecisionandorder.pdf,2006-03-14
Card Systems Solutions,https://www.ftc.gov/sites/default/files/documents/cases/2006/09/0523148cardsystemscomplaint.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2006/09/0523148cardsystemsdo.pdf,2006-09-08
Guidance Software,https://www.ftc.gov/sites/default/files/documents/cases/2007/04/0623057complaint.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2007/04/0623057do.pdf,2007-04-03
Life is Good In,https://www.ftc.gov/sites/default/files/documents/cases/2008/04/080418complaint.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2008/04/080418do.pdf,2008-04-18
TJX,https://www.ftc.gov/sites/default/files/documents/cases/2008/08/080801tjxcomplaint.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2008/08/080801tjxdo.pdf,2008-08-01
Reed Elsevier Inc. and Seisint Inc,https://www.ftc.gov/sites/default/files/documents/cases/2008/08/080801reedcomplaint.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2008/08/080801reeddo.pdf,2008-08-01
"Rental Research Services, Inc., ",,,2009-03-05
Genica Corporation,https://www.ftc.gov/sites/default/files/documents/cases/2009/03/090320genicacmpt.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2009/03/090320genicado.pdf,2009-03-20
Gregory Navone,,,2010-01-20
"Dave & Busterns, Inc",https://www.ftc.gov/sites/default/files/documents/cases/2010/06/100608davebusterscmpt.pdf,https://www.ftc.gov/sites/default/files/documents/cases/2010/06/100608davebustersdo.pdf,2010-06-08
